self,alison,jane,moses,age,country
5,1,1,1,34,Mexico
1,2,2,2,58,Mexico
2,1,4,3,32,Mexico
1,2,2,1,34,Mexico
3,2,1,2,35,Mexico
1,1,1,1,31,Mexico
1,3,1,1,39,Mexico
2,3,2,1,40,Mexico
1,4,1,1,31,Mexico
5,2,2,2,42,Mexico
1,3,3,3,39,Mexico
1,3,2,3,48,Mexico
2,3,2,2,34,Mexico
3,2,1,2,31,Mexico
2,4,1,1,38,Mexico
3,4,5,3,28,Mexico
1,2,1,1,37,Mexico
1,4,2,1,37,Mexico
2,3,3,5,18,Mexico
2,3,2,1,29,Mexico
2,2,2,3,20,Mexico
1,1,1,1,59,Mexico
2,2,1,1,42,Mexico
3,4,2,2,34,Mexico
1,3,1,2,36,Mexico
1,4,3,2,24,Mexico
1,2,3,2,37,Mexico
3,3,2,4,18,Mexico
1,3,2,1,85,Mexico
3,4,5,2,23,Mexico
1,3,1,2,33,Mexico
2,2,2,2,28,Mexico
4,4,2,1,18,Mexico
1,3,1,1,47,Mexico
2,3,2,1,29,Mexico
5,4,1,1,34,Mexico
2,2,4,3,58,Mexico
1,3,2,2,62,Mexico
5,1,1,5,43,Mexico
2,2,1,1,28,Mexico
1,5,2,1,34,Mexico
1,2,2,1,32,Mexico
2,3,1,1,38,Mexico
1,2,1,2,20,Mexico
5,5,5,5,35,Mexico
1,2,1,1,61,Mexico
1,1,1,5,25,Mexico
1,3,2,1,42,Mexico
1,2,5,1,18,Mexico
1,5,1,2,35,Mexico
2,2,5,2,67,Mexico
1,1,1,1,45,Mexico
2,4,2,1,38,Mexico
2,3,2,2,32,Mexico
2,3,2,1,43,Mexico
3,4,1,3,23,Mexico
1,1,1,1,32,Mexico
2,3,5,1,31,Mexico
2,3,1,1,25,Mexico
3,3,4,3,62,Mexico
5,4,1,1,38,Mexico
1,4,1,1,65,Mexico
2,2,2,1,29,Mexico
2,3,2,1,29,Mexico
5,3,1,1,25,Mexico
5,2,2,2,30,Mexico
1,3,3,3,48,Mexico
2,4,5,5,27,Mexico
4,3,5,1,30,Mexico
1,2,1,1,34,Mexico
1,4,2,1,36,Mexico
3,3,1,5,26,Mexico
2,2,2,2,53,Mexico
2,5,2,2,36,Mexico
1,3,2,1,28,Mexico
1,3,5,5,72,Mexico
2,4,2,2,30,Mexico
2,3,1,2,44,Mexico
1,1,5,1,42,Mexico
2,3,3,1,26,Mexico
5,3,3,3,39,Mexico
1,3,5,1,25,Mexico
1,3,3,2,42,Mexico
2,2,2,5,44,Mexico
2,4,1,1,50,Mexico
1,3,1,3,18,Mexico
3,3,2,2,37,Mexico
2,3,1,2,22,Mexico
1,1,1,1,48,Mexico
3,3,3,5,38,Mexico
2,3,2,2,39,Mexico
3,3,3,3,33,Mexico
1,1,1,1,46,Mexico
1,2,1,2,29,Mexico
1,4,2,1,28,Mexico
5,5,2,1,71,Mexico
2,5,1,1,30,Mexico
5,3,3,5,35,Mexico
1,3,1,1,44,Mexico
3,4,1,1,39,Mexico
2,3,2,1,28,Mexico
1,1,1,2,59,Mexico
3,4,1,1,52,Mexico
3,3,1,2,39,Mexico
1,2,1,1,23,Mexico
2,3,1,1,34,Mexico
1,3,1,1,19,Mexico
1,3,3,1,40,Mexico
2,2,5,1,37,Mexico
1,2,2,1,50,Mexico
4,1,2,2,24,Mexico
1,3,4,2,23,Mexico
2,4,1,1,53,Mexico
1,3,1,1,42,Mexico
1,2,1,1,29,Mexico
1,3,1,2,32,Mexico
5,5,5,5,43,Mexico
3,3,2,1,63,Mexico
3,2,3,1,27,Mexico
1,2,2,1,65,Mexico
1,3,2,1,48,Mexico
1,3,1,3,42,Mexico
1,2,2,3,35,Mexico
1,2,1,1,36,Mexico
2,2,5,2,52,Mexico
1,5,2,1,32,Mexico
2,3,1,1,53,Mexico
1,2,1,1,51,Mexico
5,3,1,5,35,Mexico
1,3,1,2,52,Mexico
1,2,1,1,27,Mexico
2,5,1,1,44,Mexico
1,4,1,1,50,Mexico
2,3,1,2,35,Mexico
1,1,1,2,35,Mexico
1,1,1,1,21,Mexico
1,1,1,1,26,Mexico
1,3,1,1,37,Mexico
1,3,1,1,42,Mexico
2,3,1,2,43,Mexico
1,1,1,1,42,Mexico
1,4,2,1,42,Mexico
1,3,1,2,42,Mexico
1,3,1,1,42,Mexico
2,2,1,2,20,Mexico
5,3,1,1,42,Mexico
1,3,3,3,23,Mexico
1,3,1,1,49,Mexico
1,3,2,2,70,Mexico
1,1,1,1,49,Mexico
3,3,1,2,43,Mexico
2,5,5,2,25,Mexico
1,4,1,1,32,Mexico
1,3,1,1,51,Mexico
2,3,2,1,28,Mexico
2,3,2,2,18,Mexico
1,1,1,1,19,Mexico
1,4,1,1,50,Mexico
3,1,1,1,58,Mexico
1,1,1,1,56,Mexico
5,5,2,1,52,Mexico
2,3,1,1,47,Mexico
2,3,5,1,28,Mexico
1,5,2,5,25,Mexico
1,1,1,3,68,Mexico
1,3,3,2,58,Mexico
1,1,1,1,46,Mexico
3,3,1,1,43,Mexico
1,2,2,1,57,Mexico
2,3,1,1,22,Mexico
2,4,3,1,27,Mexico
2,2,1,1,27,Mexico
2,2,1,1,60,Mexico
2,3,4,1,36,Mexico
3,3,1,1,41,Mexico
1,4,1,3,22,Mexico
1,4,1,1,24,Mexico
3,3,2,1,28,Mexico
2,2,2,1,66,Mexico
1,1,1,1,26,Mexico
2,4,2,1,40,Mexico
3,2,1,2,61,Mexico
2,3,1,1,55,Mexico
2,2,2,1,59,Mexico
2,2,1,1,50,Mexico
2,5,1,1,20,Mexico
1,3,1,1,36,Mexico
2,1,1,1,30,Mexico
1,4,1,2,36,Mexico
2,2,2,5,25,Mexico
2,4,3,3,65,Mexico
2,3,2,2,46,Mexico
1,4,1,2,34,Mexico
5,4,5,1,41,Mexico
1,3,2,1,23,Mexico
2,3,2,2,33,Mexico
3,3,2,1,31,Mexico
1,3,1,1,21,Mexico
5,3,5,5,44,Mexico
1,2,2,1,25,Mexico
2,2,3,2,35,Mexico
1,3,1,1,23,Mexico
3,4,1,2,28,Mexico
3,3,2,1,26,Mexico
2,3,1,1,49,Mexico
3,3,2,1,59,Mexico
3,4,1,2,21,Mexico
1,3,1,1,34,Mexico
1,3,1,1,39,Mexico
1,5,5,5,38,Mexico
2,2,2,4,21,Mexico
1,3,1,1,33,Mexico
1,3,1,1,55,Mexico
1,2,3,1,55,Mexico
3,4,1,1,31,Mexico
4,3,1,1,43,Mexico
2,2,4,4,27,Mexico
1,2,1,1,86,Mexico
2,2,3,4,19,Mexico
1,1,2,1,48,Mexico
1,1,1,1,47,Mexico
4,5,4,4,33,Mexico
1,5,2,1,28,Mexico
2,2,3,2,20,Mexico
5,3,5,1,23,Mexico
1,5,5,2,22,Mexico
1,2,2,1,42,Mexico
1,2,1,1,44,Mexico
1,3,2,2,29,Mexico
5,4,5,5,36,Mexico
2,2,3,2,27,Mexico
2,2,1,2,42,Mexico
2,2,2,1,27,Mexico
1,1,2,2,18,Mexico
3,3,1,1,30,Mexico
2,3,4,2,70,Mexico
2,3,1,1,26,Mexico
1,5,2,5,23,Mexico
1,3,2,2,69,Mexico
1,1,2,1,24,Mexico
1,1,2,1,25,Mexico
1,2,3,1,22,Mexico
2,2,3,4,26,Mexico
1,3,1,5,46,Mexico
2,5,1,1,69,Mexico
1,4,2,1,50,Mexico
3,2,2,2,20,Mexico
1,1,1,1,24,Mexico
5,4,1,1,38,Mexico
2,2,2,2,41,Mexico
3,2,1,1,41,Mexico
1,1,1,1,60,Mexico
3,3,4,3,22,Mexico
1,1,2,1,32,Mexico
2,4,2,5,70,Mexico
1,2,1,1,56,Mexico
5,5,2,5,26,Mexico
2,4,3,4,40,Mexico
2,2,1,4,38,Mexico
2,3,2,1,50,Mexico
1,3,2,1,23,Mexico
2,2,2,1,28,Mexico
1,2,1,1,36,Mexico
1,4,4,2,35,Mexico
1,2,1,1,36,Mexico
2,3,2,1,42,Mexico
2,4,5,2,28,Mexico
1,3,2,2,28,Mexico
1,1,1,1,44,Mexico
1,2,1,1,25,Mexico
5,5,5,5,23,Mexico
1,2,1,1,33,Mexico
2,4,2,1,47,Mexico
3,3,3,3,43,Mexico
5,4,5,2,30,Mexico
1,3,1,1,40,Mexico
2,4,1,1,41,Mexico
3,1,1,1,37,Mexico
1,2,5,2,51,Mexico
1,2,5,2,27,Mexico
1,2,3,1,49,Mexico
1,2,1,1,58,Mexico
5,5,5,5,58,Mexico
1,2,1,1,28,Mexico
1,2,2,1,30,Mexico
2,2,2,4,60,Mexico
1,1,1,2,18,Mexico
1,1,1,1,21,Mexico
1,3,2,1,48,Mexico
2,3,1,2,36,Mexico
1,2,3,2,52,Mexico
5,5,3,5,40,China
1,5,5,5,45,China
5,4,5,5,48,China
1,5,5,5,42,China
1,3,3,3,57,China
4,5,3,4,53,China
1,3,3,5,34,China
4,5,4,5,75,China
4,5,4,1,51,China
3,4,5,3,43,China
1,5,5,5,27,China
3,4,3,3,51,China
1,5,3,3,27,China
2,3,2,2,30,China
1,5,4,3,53,China
5,3,5,3,19,China
1,5,3,4,40,China
2,3,3,4,48,China
3,4,3,2,39,China
3,3,3,4,49,China
2,5,5,1,28,China
2,4,2,1,50,China
3,5,3,5,50,China
1,5,3,2,36,China
3,5,3,4,23,China
5,3,4,4,55,China
1,3,3,3,58,China
3,5,3,4,40,China
2,4,3,3,41,China
1,3,3,2,39,China
4,5,5,5,35,China
1,3,5,3,35,China
3,3,3,1,54,China
1,5,5,5,50,China
3,4,4,4,48,China
3,4,2,3,36,China
4,2,3,4,49,China
3,5,5,5,68,China
3,4,5,4,54,China
1,4,5,5,73,China
3,3,4,3,25,China
3,5,2,4,32,China
5,3,5,4,22,China
1,4,2,1,40,China
2,3,2,3,33,China
1,5,5,5,37,China
1,4,3,3,38,China
3,4,4,4,50,China
5,4,5,5,40,China
3,5,5,5,40,China
2,4,5,5,42,China
1,4,4,5,40,China
2,5,2,3,49,China
5,3,4,5,37,China
2,5,2,3,30,China
5,3,5,5,31,China
4,5,2,1,31,China
5,5,3,4,49,China
3,5,5,5,44,China
1,4,3,3,47,China
3,3,3,3,48,China
3,5,5,5,39,China
3,3,3,3,25,China
5,3,3,3,63,China
2,3,5,4,59,China
1,3,4,4,44,China
2,4,4,5,28,China
1,3,4,3,37,China
3,4,4,3,25,China
3,4,3,1,65,China
2,3,5,1,38,China
5,4,2,3,39,China
4,4,4,4,51,China
5,5,3,5,54,China
3,3,2,3,49,China
1,5,3,5,32,China
3,4,3,3,30,China
1,5,4,5,35,China
5,2,3,3,59,China
3,5,3,3,32,China
1,4,4,2,37,China
3,5,3,3,38,China
1,3,4,3,28,China
3,4,3,4,34,China
4,5,3,5,54,China
5,4,4,2,49,China
1,5,5,5,46,China
1,5,1,5,40,China
1,5,4,5,29,China
4,5,4,4,40,China
3,5,3,4,36,China
1,5,3,3,73,China
1,4,5,5,22,China
2,4,3,2,33,China
1,3,1,1,38,China
4,5,3,3,47,China
4,4,4,3,36,China
1,3,3,5,46,China
3,5,3,2,59,China
1,3,1,3,38,China
5,5,5,5,56,China
3,5,4,4,24,China
3,4,3,5,42,China
2,5,5,5,75,China
3,3,2,3,58,China
1,5,5,5,27,China
5,4,4,5,36,China
4,3,3,5,45,China
1,3,1,1,44,China
2,5,3,5,35,China
3,5,5,5,34,China
1,3,3,3,36,China
3,3,3,3,33,China
3,3,3,5,35,China
2,4,5,3,29,China
5,2,5,5,76,China
1,3,3,5,54,China
2,5,5,5,37,China
1,5,3,1,28,China
3,4,3,2,40,China
4,5,4,5,52,China
2,5,4,5,38,China
1,5,4,3,33,China
5,5,4,5,50,China
4,5,3,5,45,China
2,5,5,5,38,China
2,3,3,3,42,China
1,3,3,5,48,China
1,5,4,5,27,China
1,4,5,5,68,China
4,5,5,5,30,China
1,3,3,3,32,China
2,2,3,2,46,China
1,4,4,4,69,China
1,4,4,5,35,China
4,5,5,1,66,China
3,3,3,5,45,China
1,5,1,5,50,China
2,3,3,5,50,China
5,5,5,5,38,China
1,2,1,1,62,China
1,5,3,2,26,China
3,4,2,2,51,China
5,3,3,3,38,China
4,5,5,5,81,China
4,5,3,3,76,China
3,5,2,3,65,China
1,4,2,3,48,China
2,4,5,3,44,China
4,5,5,5,53,China
1,4,5,4,51,China
2,4,3,5,45,China
4,4,3,4,45,China
4,4,3,3,48,China
3,4,5,5,24,China
2,5,5,5,25,China
2,4,2,2,23,China
2,4,3,3,39,China
4,4,4,4,62,China
1,4,3,2,73,China
2,4,2,2,57,China
4,5,5,5,45,China
2,3,1,3,39,China
4,5,2,1,53,China
3,4,2,3,61,China
1,3,2,1,31,China
5,5,4,3,60,China
3,4,4,4,45,China
3,4,2,2,26,China
2,4,4,4,40,China
4,3,3,4,79,China
2,3,5,4,65,China
2,4,2,2,71,China
2,3,2,3,65,China
3,4,3,2,76,China
1,4,5,4,34,China
2,3,3,2,31,China
1,4,3,1,69,China
4,5,5,5,47,China
4,3,5,3,39,China
3,3,2,2,38,China
3,5,4,3,51,China
1,3,2,3,70,China
3,4,2,2,36,China
3,2,2,3,73,China
2,3,2,3,73,China
2,4,5,5,69,China
3,5,2,3,59,China
5,3,2,2,38,China
2,5,3,2,38,China
5,4,2,3,70,China
4,3,3,1,70,China
3,4,3,2,19,China
2,3,3,3,82,China
2,2,2,2,39,China
3,4,4,3,56,China
2,5,5,5,55,China
3,4,4,4,69,China
3,4,4,5,23,China
1,4,3,1,46,China
2,3,3,3,38,China
5,5,4,3,64,China
1,4,4,3,49,China
5,3,2,3,58,China
2,3,3,2,20,China
4,3,5,5,83,China
4,5,4,3,70,China
5,5,4,4,71,China
4,5,5,5,72,China
2,4,3,3,40,China
4,4,5,5,70,China
2,3,3,3,68,China
3,3,3,3,52,China
3,4,5,3,76,China
2,2,3,2,69,China
4,4,3,2,62,China
4,5,4,3,77,China
2,5,4,5,50,China
3,4,4,4,44,China
5,5,1,1,71,China
4,5,3,4,73,China
3,5,3,5,67,China
3,4,3,3,68,China
2,1,4,3,25,China
3,4,4,4,67,China
3,4,3,3,72,China
4,4,2,2,59,China
2,4,4,4,63,China
2,3,2,3,38,China
4,3,3,3,47,China
2,3,2,2,75,China
2,4,4,4,27,China
2,4,4,3,40,China
2,3,2,2,43,China
2,5,3,2,24,China
4,5,5,5,26,China
4,3,4,5,65,China
4,4,3,2,46,China
3,5,3,2,48,China
2,5,3,4,23,China
2,3,3,3,58,China
2,4,5,3,48,China
3,5,5,5,23,China
3,4,4,5,46,China
3,3,3,3,61,China
4,5,5,5,68,China
2,2,2,1,53,China
1,3,3,3,48,China
2,5,4,5,69,China
2,4,2,2,40,China
3,4,3,3,45,China
1,4,3,5,62,China
1,4,4,4,75,China
4,4,4,4,35,China
1,5,5,3,66,China
3,5,5,5,72,China
3,4,4,3,53,China
4,5,5,5,54,China
3,3,3,3,53,China
1,4,2,3,48,China
1,3,2,2,50,China
3,4,3,3,46,China
2,3,5,5,22,China
1,3,1,1,44,China
1,5,5,5,46,China
3,5,5,5,36,China
2,3,4,5,61,China
2,3,4,3,20,China
1,3,4,3,24,China
2,3,4,3,18,China
1,3,3,2,40,China
1,3,3,3,36,China
3,5,5,5,40,China
4,3,3,1,67,China
3,5,5,5,22,China
1,3,3,2,32,China
1,5,5,5,40,China
1,2,5,5,54,China
3,3,3,4,55,China
3,5,3,2,25,China
5,5,4,4,36,China
3,5,5,5,50,China
2,3,3,2,23,China
